Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1758635369729899,-1,2,1,-1,1,-12,3,-2
1,Flexão,1,1758635369729899,0,-2,-13,3,1,18,-5,-1
1,Flexão,1,1758635369730850,0,-4,-3,-10,-1,-8,0,-1
1,Flexão,1,1758635369730850,-1,0,3,-19,-5,2,-3,0
1,Flexão,1,1758635369751572,0,2,15,20,2,-2,3,-1
1,Flexão,1,1758635369751572,-1,-1,-27,-20,0,-3,4,0
1,Flexão,1,1758635369753607,-4,-6,16,-26,-3,2,-3,-3
1,Flexão,1,1758635369753607,-2,0,-13,-43,-7,-6,-4,-1
1,Flexão,1,1758635369766634,0,1,-2,18,4,-1,3,1
1,Flexão,1,1758635369766634,0,2,2,-6,0,-4,-1,0
1,Flexão,1,1758635369773161,-1,-2,-5,-3,-3,1,0,0
1,Flexão,1,1758635369773161,0,-3,1,-4,1,0,0,-2
1,Flexão,1,1758635369788843,-2,1,-3,-15,-2,3,2,0
1,Flexão,1,1758635369788843,-1,-2,0,5,-3,-5,-3,-2
1,Flexão,1,1758635369790446,1,2,11,1,5,2,-2,-1
1,Flexão,1,1758635369790446,0,-2,-7,-3,-2,3,0,1
1,Flexão,1,1758635369812069,1,4,8,7,5,-1,2,-1
1,Flexão,1,1758635369812069,0,-1,4,-6,1,-2,1,-1
1,Flexão,1,1758635369812994,0,-1,1,-1,-3,-11,-28,-3
1,Flexão,1,1758635369812994,0,4,14,7,2,6,-1,1
1,Flexão,1,1758635369824982,-2,-4,-3,9,4,6,2,-2
1,Flexão,1,1758635369824982,1,1,-5,-8,-4,-11,-4,0
1,Flexão,1,1758635369834712,2,-1,-6,10,2,8,6,1
1,Flexão,1,1758635369834712,1,-1,4,-5,-1,-8,0,-1
1,Flexão,1,1758635369849471,-1,2,-6,-4,-1,3,-3,0
1,Flexão,1,1758635369849471,-1,-7,4,1,-1,6,3,-2
1,Flexão,1,1758635369850730,-3,2,-1,-2,0,-1,4,-1
1,Flexão,1,1758635369850730,0,0,-27,-21,-3,-1,-1,1
1,Flexão,1,1758635369871367,-3,-3,9,7,-5,-6,3,-4
1,Flexão,1,1758635369871367,-1,1,-1,24,4,0,0,0
1,Flexão,1,1758635369878361,1,0,-7,-4,-4,0,2,-1
1,Flexão,1,1758635369878361,1,0,7,2,2,1,-2,1
1,Flexão,1,1758635369885921,1,-1,-7,-9,-1,3,0,2
1,Flexão,1,1758635369885921,0,1,-1,-3,-5,-5,-3,-1
1,Flexão,1,1758635369894778,1,-1,-4,18,3,-1,1,-2
1,Flexão,1,1758635369894778,-1,-1,8,9,1,-1,0,-3
1,Flexão,1,1758635369909692,1,0,-3,-8,-1,-2,1,1
1,Flexão,1,1758635369909692,-2,-3,-5,-11,-1,2,0,0
1,Flexão,1,1758635369910710,-1,-1,8,22,1,-2,3,0
1,Flexão,1,1758635369910710,-2,-1,7,15,-2,-2,-1,-1
1,Flexão,1,1758635369931883,-3,-5,-41,-32,-6,-4,-3,1
1,Flexão,1,1758635369931883,1,1,16,2,4,-5,-1,-1
1,Flexão,1,1758635369933787,-1,-1,-6,-6,-3,15,3,2
1,Flexão,1,1758635369933787,-3,-4,3,0,1,-10,-3,-3
1,Flexão,1,1758635369945694,1,-1,11,10,1,4,-2,-1
1,Flexão,1,1758635369945694,0,0,-6,-12,-5,-4,-1,0
1,Flexão,1,1758635369954359,-2,-1,-10,-17,-3,-2,0,-2
1,Flexão,1,1758635369954359,-1,-7,6,15,0,3,-1,-1
1,Flexão,1,1758635369968937,-1,1,13,8,0,-6,-1,-1
1,Flexão,1,1758635369968937,-1,-2,-24,-30,-7,-3,-2,-3
1,Flexão,1,1758635369970978,-2,-2,5,11,0,1,1,-2
1,Flexão,1,1758635369970978,-2,-1,1,7,0,2,2,0
1,Flexão,1,1758635369991980,0,-1,5,2,2,-2,-1,0
1,Flexão,1,1758635369991980,-3,-2,-5,18,-2,-4,-2,0
1,Flexão,1,1758635369992894,-1,1,-7,-28,-7,-7,-2,-1
1,Flexão,1,1758635369992894,-1,-1,1,28,3,-1,-26,-2
1,Flexão,1,1758635370013878,-1,0,6,-22,1,1,-1,1
1,Flexão,1,1758635370013878,0,1,8,-5,1,6,2,0
1,Flexão,1,1758635370022352,-2,-2,-12,4,3,-3,-1,-1
1,Flexão,1,1758635370022352,-2,-3,-4,-31,-5,1,6,0
1,Flexão,1,1758635370029376,1,1,6,5,-2,-3,-2,-1
1,Flexão,1,1758635370029376,0,0,-10,-6,0,3,-6,-1
1,Flexão,1,1758635370031390,0,-1,22,1,-1,8,3,-1
1,Flexão,1,1758635370031390,1,4,2,-3,-1,-11,2,1
1,Flexão,1,1758635370051637,-2,-4,-2,-1,1,5,1,-1
1,Flexão,1,1758635370051637,0,-1,2,3,-2,-6,2,-1
1,Flexão,1,1758635370054177,0,0,4,-19,2,-2,0,0
1,Flexão,1,1758635370054177,-1,1,4,20,-1,4,1,0
1,Flexão,1,1758635370065646,-1,-3,-10,-23,-4,-4,0,0
1,Flexão,1,1758635370065646,-1,2,-2,41,1,-1,0,-2
1,Flexão,1,1758635370073985,0,-1,-7,-19,2,-1,1,0
1,Flexão,1,1758635370073985,-1,-2,4,-9,0,0,-2,0
1,Flexão,1,1758635370089652,-1,-1,-11,2,-1,-3,-1,0
1,Flexão,1,1758635370089652,-1,0,14,19,2,3,0,0
1,Flexão,1,1758635370091183,-2,0,-3,-20,-7,-3,-2,-1
1,Flexão,1,1758635370091183,0,2,-5,-2,2,0,4,-1
1,Flexão,1,1758635370112245,-1,-3,0,7,0,0,0,-1
1,Flexão,1,1758635370112245,1,0,9,9,2,3,-1,0
1,Flexão,1,1758635370113257,-3,-1,-5,7,1,-4,-1,1
1,Flexão,1,1758635370113257,0,0,2,-4,-2,1,0,-2
1,Flexão,1,1758635370125597,0,1,0,7,-1,0,0,0
1,Flexão,1,1758635370125597,0,-3,-7,-32,-2,0,-2,0
1,Flexão,1,1758635370134874,-2,0,1,1,2,-1,0,0
1,Flexão,1,1758635370134874,-2,-3,-10,-12,-4,-3,-2,-1
1,Flexão,1,1758635370148950,2,4,6,44,7,1,-1,-1
1,Flexão,1,1758635370148950,0,0,-6,-5,-4,-3,0,-1
1,Flexão,1,1758635370150510,0,-2,-5,1,0,-4,-2,-1
1,Flexão,1,1758635370150510,1,2,-2,-9,-2,-1,1,1
1,Flexão,1,1758635370171779,-1,-2,0,-2,-3,2,0,-1
1,Flexão,1,1758635370171779,0,0,12,0,3,13,-1,-1
1,Flexão,1,1758635370172733,-1,-4,2,-26,-1,-7,-1,-2
1,Flexão,1,1758635370172733,-1,-4,-35,15,-3,2,0,-1
1,Flexão,1,1758635370185729,-1,1,0,-20,-3,-8,-2,-1
1,Flexão,1,1758635370185729,1,-1,1,-1,2,-1,0,0
1,Flexão,1,1758635370193677,-2,1,8,2,-1,0,0,-2
1,Flexão,1,1758635370193677,0,0,4,-6,4,-3,2,0
1,Flexão,1,1758635370209363,0,2,6,17,3,1,-2,1
1,Flexão,1,1758635370209363,-1,-1,-15,-16,1,4,3,1
1,Flexão,1,1758635370210684,0,-2,-2,7,1,-4,-4,0
1,Flexão,1,1758635370210684,-1,-3,4,-11,-1,-1,0,0
1,Flexão,1,1758635370232570,-1,-1,-3,-10,1,5,-1,-2
1,Flexão,1,1758635370232570,-3,-5,-5,10,-3,-4,-2,-1
1,Flexão,1,1758635370233485,0,0,-5,5,-2,-1,-1,-1
1,Flexão,1,1758635370233485,0,4,7,-2,-3,0,0,-1
1,Flexão,1,1758635370254471,-1,-3,7,10,-1,-1,-2,-1
1,Flexão,1,1758635370254471,-2,1,-12,-17,0,-5,0,-1
1,Flexão,1,1758635370255490,-3,-5,-1,15,-2,1,0,-2
1,Flexão,1,1758635370255490,1,0,6,3,3,2,-1,-1
1,Flexão,1,1758635370268990,1,1,8,9,-2,-1,1,-1
1,Flexão,1,1758635370268990,-1,-3,-8,-2,0,-6,-2,-2
1,Flexão,1,1758635370270947,2,-1,-3,1,1,17,1,0
1,Flexão,1,1758635370270947,-1,-1,1,5,-2,-8,0,0
1,Flexão,1,1758635370291411,-2,-2,-8,-24,-5,2,-2,0
1,Flexão,1,1758635370291411,-1,-1,8,2,-2,-6,-1,3
1,Flexão,1,1758635370293411,0,0,-2,28,1,-3,-1,-1
1,Flexão,1,1758635370293411,-1,-1,-4,-39,-5,2,-1,1
1,Flexão,1,1758635370313819,-1,-1,12,17,1,-2,0,1
1,Flexão,1,1758635370313819,-1,-3,4,5,-1,-2,-2,-2
1,Flexão,1,1758635370316346,0,-1,-17,-46,-3,-1,-2,-1
1,Flexão,1,1758635370316346,1,0,16,51,5,-1,1,-1
1,Flexão,1,1758635370329119,-2,-1,-13,-16,-4,-5,-3,-1
1,Flexão,1,1758635370329119,1,1,15,13,1,1,-1,-2
1,Flexão,1,1758635370330626,1,-2,-3,-15,0,1,2,0
1,Flexão,1,1758635370330626,-2,-1,-3,-8,-2,-3,-2,0
1,Flexão,1,1758635370352515,-1,-1,-6,-5,-1,-1,-1,-1
1,Flexão,1,1758635370352515,-1,-1,-4,0,-1,0,0,0
1,Flexão,1,1758635370353366,0,4,7,12,0,-9,-1,0
1,Flexão,1,1758635370353366,-2,-7,1,-2,1,5,2,2
1,Flexão,1,1758635370380898,1,0,-6,0,2,0,1,0
1,Flexão,1,1758635370380898,1,4,6,29,-2,2,0,0
1,Flexão,1,1758635370383440,-1,-2,11,-17,6,0,1,-1
1,Flexão,1,1758635370383440,-1,2,-7,3,-11,-2,-2,-2
1,Flexão,1,1758635370389738,-1,1,5,-3,5,-1,-2,0
1,Flexão,1,1758635370389738,-1,-1,-8,1,-2,-2,-1,-2
1,Flexão,1,1758635370390636,0,2,0,14,-2,11,0,3
1,Flexão,1,1758635370390636,0,-1,-5,-10,4,-6,0,-1
1,Flexão,1,1758635370412227,0,-4,-1,-9,-2,5,-1,0
1,Flexão,1,1758635370412227,-1,0,-4,-1,-2,-5,-4,-2
1,Flexão,1,1758635370413149,-1,2,5,-3,-1,-1,0,-2
1,Flexão,1,1758635370413149,-3,0,-2,-6,2,4,0,-4
1,Flexão,1,1758635370434167,0,-1,-16,-4,-2,-4,0,-1
1,Flexão,1,1758635370434167,1,1,9,-10,1,-1,0,0
1,Flexão,1,1758635370436226,0,0,4,4,-2,-7,-2,-1
1,Flexão,1,1758635370436226,-2,-4,-44,-4,-3,-1,-1,-1
1,Flexão,1,1758635370449011,0,1,5,-1,0,1,1,0
1,Flexão,1,1758635370449011,-2,-1,-1,-11,-1,3,-2,-2
1,Flexão,1,1758635370455133,0,0,-5,11,-4,-2,-2,0
1,Flexão,1,1758635370455133,0,2,16,2,-1,-3,-3,-1
1,Flexão,1,1758635370471467,-2,-3,-3,2,1,0,1,0
1,Flexão,1,1758635370471467,0,1,-3,-17,1,1,0,1
1,Flexão,1,1758635370473381,-3,-10,-12,-4,-6,-6,-1,-2
1,Flexão,1,1758635370473381,-1,6,10,13,2,0,-1,1
1,Flexão,1,1758635370494761,-2,0,-9,-32,-3,-2,0,-1
1,Flexão,1,1758635370494761,0,0,9,0,2,1,-2,-1
1,Flexão,1,1758635370495760,2,-1,5,6,1,0,2,1
1,Flexão,1,1758635370495760,-1,-3,5,9,0,1,-1,-1
1,Flexão,1,1758635370508558,-1,-3,2,5,-2,2,0,-2
1,Flexão,1,1758635370508558,0,-1,-8,-14,0,-1,-1,-1
1,Flexão,1,1758635370515660,-1,-1,-2,27,4,0,-2,-1
1,Flexão,1,1758635370515660,0,-3,5,-14,-4,1,-1,0
1,Flexão,1,1758635370531854,-2,0,-4,24,-1,-11,-2,-3
1,Flexão,1,1758635370531854,-2,0,3,-14,-4,6,0,-1
1,Flexão,1,1758635370533737,-1,1,-6,1,1,5,-1,1
1,Flexão,1,1758635370533737,-1,-3,3,-5,-4,-10,0,-1
1,Flexão,1,1758635370554745,0,-3,-2,-7,-3,3,0,-1
1,Flexão,1,1758635370554745,1,-2,-7,-22,-2,-4,0,-1
1,Flexão,1,1758635370555731,-2,0,5,39,3,2,0,-1
1,Flexão,1,1758635370555731,-2,-1,9,10,-1,3,-1,-1
1,Flexão,1,1758635370577622,-1,-4,-4,-12,1,-1,0,-1
1,Flexão,1,1758635370577622,-2,-2,3,18,-1,-1,-3,0
1,Flexão,1,1758635370578231,-1,0,4,-20,-3,-1,0,1
1,Flexão,1,1758635370578231,2,1,7,-17,0,0,-1,0
1,Flexão,1,1758635370591898,-1,-4,-6,26,0,0,-2,-1
1,Flexão,1,1758635370591898,-1,0,12,22,2,-2,0,-3
1,Flexão,1,1758635370592910,1,-6,-30,-42,-7,-6,-1,-2
1,Flexão,1,1758635370592910,0,2,18,19,5,5,1,-2
1,Flexão,1,1758635370614394,-2,-2,-52,31,-1,4,3,1
