Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1759150217750369,3,5,3,-1,-12,5,4,2
1,Flexão,1,1759150217771413,-3,-10,-7,-5,3,2,-1,-3
1,Flexão,1,1759150217771413,1,1,5,-6,-8,-3,-2,-2
1,Flexão,1,1759150217772404,4,7,7,10,7,0,3,-1
1,Flexão,1,1759150217772404,0,0,4,0,10,0,0,-1
1,Flexão,1,1759150217785889,-6,-15,-16,-8,-10,-1,-3,-5
1,Flexão,1,1759150217785889,-1,-3,-1,8,7,-3,2,0
1,Flexão,1,1759150217793712,0,2,0,15,27,0,1,2
1,Flexão,1,1759150217793712,-2,5,13,2,-10,-5,-3,0
1,Flexão,1,1759150217808688,-3,-9,-15,-28,-23,0,-1,-1
1,Flexão,1,1759150217808688,1,-1,-5,-1,10,4,2,1
1,Flexão,1,1759150217810196,-2,-1,-1,11,-7,-3,-2,-1
1,Flexão,1,1759150217810196,6,11,6,18,6,-7,2,1
1,Flexão,1,1759150217831957,0,8,7,2,13,3,2,1
1,Flexão,1,1759150217831957,0,0,-7,-6,-18,-1,-2,-1
1,Flexão,1,1759150217832967,-1,-3,-6,11,11,1,-2,-3
1,Flexão,1,1759150217832967,-3,-4,5,-31,-14,3,-1,-1
1,Flexão,1,1759150217846600,-2,1,4,-2,-24,-7,-3,0
1,Flexão,1,1759150217846600,1,4,-3,-4,11,2,-2,-1
1,Flexão,1,1759150217854733,-4,-4,-3,-17,-9,-3,-2,-4
1,Flexão,1,1759150217854733,-6,-18,-17,9,10,2,-1,-2
1,Flexão,1,1759150217868811,7,15,7,17,2,6,9,6
1,Flexão,1,1759150217868811,-4,-3,0,5,-10,1,2,-1
1,Flexão,1,1759150217869861,-4,-4,-4,-16,-21,-2,-4,-2
1,Flexão,1,1759150217869861,-1,0,-4,0,4,-4,0,-2
1,Flexão,2,1759150219032167,-1,1,0,6,-8,5,3,2
1,Flexão,2,1759150219032167,1,1,-3,3,-1,9,3,1
1,Flexão,2,1759150219032167,2,1,-2,3,-7,-5,-3,-2
1,Flexão,2,1759150219032167,1,1,6,12,3,-3,0,1
