Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1758633277111398,-2,-1,-2,-2,-2,-2,1,-1
1758633277111398,-3,-2,-3,-26,1,-2,-5,-1
1758633277124429,-1,2,8,28,4,1,0,-1
1758633277124429,3,-3,-6,-7,-5,-1,1,-1
1758633277130449,1,3,-2,-1,-3,0,4,1
1758633277130449,0,0,-4,-3,3,-1,-2,-1
1758633277146593,-2,-3,-1,4,-1,-1,-4,-3
1758633277146593,-4,-2,-3,-13,-2,-1,-2,-3
1758633277153695,1,0,-1,-7,1,-1,-2,-2
1758633277153695,0,-1,0,8,-5,-2,0,1
1758633277169746,-1,-1,-1,-10,-5,-2,0,1
1758633277169746,0,1,0,12,-1,1,0,-2
1758633277170744,-3,-1,-6,-12,-2,-1,-2,2
1758633277170744,1,0,5,3,-2,0,3,-2
1758633277183762,0,1,0,-6,0,-1,1,2
1758633277183762,-1,0,4,2,0,-2,-2,0
1758633277191166,0,-2,-8,-9,-2,-3,-1,1
1758633277191166,-3,0,13,26,0,1,-2,-1
1758633277205993,1,1,-7,-19,-6,-1,2,0
1758633277205993,0,-2,2,-1,-1,0,0,0
1758633277213001,-2,-4,-7,8,4,3,-2,-1
1758633277213001,0,0,1,5,-1,0,3,0
1758633277229116,0,-2,-3,-5,-5,-1,-8,-2
1758633277229116,-1,-1,-5,-14,-2,-3,-2,0
1758633277229116,1,-2,6,8,0,0,-1,0
1758633277229116,1,-1,0,-11,-2,1,3,2
1758633277243030,-4,-3,-3,6,5,-1,1,-1
1758633277243030,0,-1,-5,-7,1,-4,-2,-2
1758633277252550,1,0,2,2,-2,-1,1,-2
1758633277252550,0,1,-7,-3,-1,1,-5,0
1758633277266868,0,1,5,8,1,1,2,0
1758633277266868,-1,1,3,5,3,-1,1,1
1758633277272870,-2,-2,-3,0,-2,0,3,0
1758633277272870,-2,-1,-1,-4,0,-2,-3,-1
1758633277289616,-2,-2,-3,-16,-3,-1,-2,1
1758633277289616,-1,-3,1,9,-1,2,0,-2
1758633277289616,2,1,5,5,-3,-2,-2,0
1758633277289616,0,0,-3,-9,-5,1,-2,-2
1758633277302947,-1,0,1,6,-1,-2,-2,-3
1758633277302947,0,1,1,4,-2,1,2,1
1758633277312598,-10,-1,-3,-7,-1,-2,-1,-2
1758633277312598,8,-1,-3,1,-2,-1,2,1
1758633277326154,1,-2,-4,-14,-3,-2,-3,0
1758633277326154,-1,-2,-3,-4,-3,-2,0,-1
1758633277333653,0,0,0,-2,1,-2,-1,0
1758633277333653,-5,-1,5,9,3,-1,-2,-3
1758633277347287,0,-2,-1,-4,-4,1,0,-1
1758633277347287,0,1,-2,-3,0,3,-2,-2
1758633277347287,-4,-3,-4,-11,-2,-1,-3,-3
1758633277347287,-3,3,1,15,3,0,0,-2
1758633277362514,8,-2,-7,1,-1,-1,0,4
1758633277362514,-2,0,4,1,-2,-2,-3,-2
1758633277372573,6,1,-5,-5,-3,1,-2,-4
1758633277372573,-1,-4,-8,-11,-1,-1,-3,-2
1758633277386161,-3,-2,6,22,5,3,1,-1
1758633277386161,-1,0,-13,-11,-4,-2,-5,0
1758633277393160,-1,0,13,9,0,0,2,0
1758633277393160,1,0,-10,-15,-4,-3,3,2
1758633277409740,-3,-1,-8,-4,-1,-1,-10,-3
1758633277409740,1,-4,0,1,3,0,0,0
1758633277410738,-5,-2,0,8,0,-2,-2,-4
1758633277410738,4,-1,2,7,-1,-1,2,3
1758633277422913,-3,2,8,14,-1,-2,0,-3
1758633277422913,0,0,1,9,4,2,2,-1
1758633277432432,2,-4,-3,-18,-6,-3,-2,2
1758633277432432,-6,0,3,-12,-3,-5,3,-1
1758633277446636,0,0,0,23,6,1,1,-1
1758633277446636,-5,-3,-5,-13,-3,-4,-1,-4
1758633277453113,5,0,2,-4,1,2,-4,1
1758633277453113,1,-3,-1,-2,1,2,-1,-1
1758633277469169,-1,-1,-5,-13,-4,-2,-2,-1
1758633277469169,0,0,-3,0,-3,-2,3,1
1758633277469169,-1,-1,-5,-4,2,-1,1,-2
1758633277469169,0,0,-5,-10,0,0,0,1
1758633277491004,0,-1,7,0,0,0,5,-2
1758633277491004,-2,0,-5,-8,-1,0,-7,-1
1758633277492003,3,-3,-4,-1,-3,0,-1,2
1758633277492003,0,1,7,12,3,1,-2,-2
1758633277507096,0,0,-7,-19,-5,-4,3,-1
1758633277507096,1,1,5,6,0,-2,-2,0
1758633277513396,-1,3,-3,1,2,2,-2,-1
1758633277513396,0,3,1,4,2,0,0,-1
1758633277528805,-2,1,3,4,-1,0,-2,0
1758633277528805,2,0,-1,8,1,-2,-2,0
1758633277535712,0,-2,-4,0,-2,-2,-1,0
1758633277535712,-3,-3,1,-2,2,2,0,0
1758633277551409,0,1,2,-5,-2,1,-2,0
1758633277551409,-2,-3,4,9,-1,-1,-2,-2
1758633277552398,0,-2,3,0,1,2,1,1
1758633277552398,-3,-2,-6,-5,-2,1,-1,-1
1758633277567393,0,1,1,-5,-5,-3,-3,-2
1758633277567393,0,2,7,23,1,1,1,0
1758633277572838,-2,-1,0,-2,0,0,-1,-4
1758633277572838,2,2,-5,-3,2,3,-5,-1
1758633277587925,-2,-4,-5,2,-1,0,1,-2
1758633277587925,-2,-1,-3,-9,0,1,0,-1
1758633277595476,2,1,2,10,-2,-1,2,2
1758633277595476,-2,-3,-4,0,0,-2,0,-1
1758633277611708,1,2,1,-3,-2,1,0,1
1758633277611708,2,0,3,3,2,2,2,0
1758633277612690,-1,-1,0,15,4,1,1,-1
1758633277612690,-2,-1,-1,-11,-8,-3,1,-2
1758633277627515,-3,-6,-1,4,3,1,1,0
1758633277627515,0,1,0,-4,-4,-1,1,-1
1758633277633787,1,1,1,-3,-1,1,-5,-1
1758633277633787,1,-2,1,14,3,0,3,-2
1758633277648798,0,-2,2,-4,-4,-4,-7,-1
1758633277648798,2,-1,-6,-7,-1,-1,1,-3
1758633277663719,-3,2,5,-1,1,-1,-5,-1
1758633277663719,-3,-2,-3,2,-2,-2,-1,-2
1758633277671095,0,1,-2,-10,-3,3,1,-1
1758633277671095,-1,1,-9,-5,-2,-2,0,2
1758633277672108,1,0,5,25,-2,-1,2,0
1758633277672108,-2,0,-2,-18,0,0,2,0
1758633277686794,4,-2,0,13,0,-2,-9,2
1758633277686794,3,0,3,-10,3,2,1,1
1758633277693786,-2,-1,-7,-16,-5,-3,-2,-1
1758633277693786,-1,-2,-2,12,3,-1,-2,0
