Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1759148840927355,3,4,-7,-22,-11,1,2,3
1,Flexão,1,1759148840958069,-2,1,21,9,4,4,-1,-1
1,Flexão,1,1759148840958069,0,-3,-6,30,16,2,-1,-1
1,Flexão,1,1759148840958069,-1,-3,-12,-30,-18,-2,-1,1
1,Flexão,1,1759148840958069,0,4,-7,-14,-12,-3,2,-1
1,Flexão,1,1759148840964334,1,1,0,6,0,-2,1,-1
1,Flexão,1,1759148840964334,-1,-4,-7,-3,-7,-2,-4,-2
1,Flexão,1,1759148840965344,1,5,12,12,4,2,0,1
1,Flexão,1,1759148840965344,2,-4,-1,-6,3,1,1,1
1,Flexão,1,1759148840987098,3,9,5,8,3,-1,-2,1
1,Flexão,1,1759148840987098,-6,-15,-2,-4,-5,-3,-3,-2
1,Flexão,1,1759148840987098,2,-8,-1,1,1,1,-3,-1
1,Flexão,1,1759148840987098,-11,-5,11,1,-1,-4,-4,-3
1,Flexão,1,1759148841011193,5,2,-2,14,3,-1,2,-2
1,Flexão,1,1759148841011193,-4,4,-16,-26,-10,-3,-1,-1
1,Flexão,1,1759148841012195,0,0,5,-20,-15,3,1,2
1,Flexão,1,1759148841012195,-3,-5,-8,6,1,-3,-3,-2
1,Flexão,1,1759148841024335,2,5,10,9,2,1,-1,-1
1,Flexão,1,1759148841024335,0,-1,12,21,5,0,-2,0
1,Flexão,1,1759148841025330,0,-6,-10,-20,0,-3,0,-2
1,Flexão,1,1759148841025330,2,8,0,-11,-4,3,0,0
1,Flexão,1,1759148841062930,-5,-10,-8,0,-1,-4,-1,-2
1,Flexão,1,1759148841062930,2,2,9,9,4,2,-1,-1
1,Flexão,1,1759148841063929,0,0,5,3,-11,1,0,0
1,Flexão,1,1759148841063929,3,11,6,7,9,-1,-1,0
1,Flexão,1,1759148841069464,-2,-4,-10,-24,-10,-2,0,0
1,Flexão,1,1759148841069464,-5,-4,3,8,-1,0,-1,0
1,Flexão,1,1759148841070462,3,3,10,2,2,1,-1,0
1,Flexão,1,1759148841070462,-2,-1,-22,-21,-8,1,-2,-1
1,Flexão,1,1759148841084702,-10,-19,-21,6,-3,-4,-4,-4
1,Flexão,1,1759148841084702,5,9,3,-1,3,0,2,3
1,Flexão,1,1759148841084702,-8,-6,4,0,3,-4,-5,-2
1,Flexão,1,1759148841084702,1,3,7,2,-6,0,2,1
1,Flexão,1,1759148841123147,3,15,7,-7,-2,0,-1,0
1,Flexão,1,1759148841123147,-6,-17,-3,3,-3,-2,0,-3
1,Flexão,1,1759148841123147,3,1,-12,22,14,-1,0,0
1,Flexão,1,1759148841123147,2,5,11,2,3,-3,-3,-1
1,Flexão,1,1759148841129752,-3,-8,-2,35,4,-2,-3,-1
1,Flexão,1,1759148841129752,3,4,-23,-68,-9,-1,0,1
1,Flexão,1,1759148841130749,1,5,9,19,-3,0,0,1
1,Flexão,1,1759148841130749,2,-1,5,14,14,0,-2,2
1,Flexão,1,1759148841144664,-3,9,21,11,7,2,-3,-2
1,Flexão,1,1759148841144664,-2,2,9,49,19,-2,0,-1
1,Flexão,1,1759148841145618,-1,-15,-16,-60,-29,-1,2,0
1,Flexão,1,1759148841145618,-2,-7,-6,-9,-3,-2,-1,-1
1,Flexão,1,1759148841175405,2,4,6,2,6,1,2,1
1,Flexão,1,1759148841175405,-4,-1,14,13,0,-3,-2,-3
1,Flexão,1,1759148841175405,2,-1,-9,-26,-12,0,-1,0
1,Flexão,1,1759148841175405,-1,-2,-3,-1,-7,0,-2,0
1,Flexão,1,1759148841189742,-1,1,-9,-14,-8,-3,-3,0
1,Flexão,1,1759148841189742,4,-2,2,18,7,3,1,2
1,Flexão,1,1759148841190782,0,5,6,13,6,-2,0,-1
1,Flexão,1,1759148841190782,0,-10,-9,-8,-2,0,0,-2
1,Flexão,1,1759148841204176,1,-1,-5,-19,-10,-1,-1,-1
1,Flexão,1,1759148841204176,0,3,-8,-4,8,-3,-3,-2
1,Flexão,1,1759148841205682,-1,6,18,44,22,3,2,1
1,Flexão,1,1759148841205682,-1,3,3,17,0,0,2,0
1,Flexão,1,1759148841227727,-2,-5,-6,-34,-10,-1,0,-1
1,Flexão,1,1759148841227727,-2,-3,-12,-4,-6,0,0,-1
1,Flexão,1,1759148841227727,-1,-1,4,10,15,-1,-3,-3
1,Flexão,1,1759148841227727,-2,-3,-23,-21,-24,-2,0,1
1,Flexão,1,1759148841250058,-4,-6,-5,-12,-10,-2,1,-3
1,Flexão,1,1759148841250058,1,5,3,-5,-6,1,-1,-3
1,Flexão,1,1759148841250958,-3,1,9,16,8,-1,-2,0
1,Flexão,1,1759148841250958,-2,3,4,4,10,0,-2,-1
1,Flexão,1,1759148841264572,2,-6,-3,10,2,-1,0,0
1,Flexão,1,1759148841264572,-2,0,-9,-32,-22,0,1,0
1,Flexão,1,1759148841265604,3,11,20,18,9,3,1,3
1,Flexão,1,1759148841265604,-3,-8,-11,-7,0,-2,-4,-2
1,Flexão,1,1759148841286827,0,4,3,12,7,0,0,-2
