Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Extensão,1,1762976945201022,0,-3,-4,-11,-2,-46,-13,-2
1,Extensão,1,1762976945202359,2,1,0,7,0,83,9,4
1,Extensão,1,1762976945202359,0,0,6,6,5,-42,6,1
1,Extensão,1,1762976945214183,-4,-3,-2,3,-1,-14,-2,-6
1,Extensão,1,1762976945214183,1,0,-1,-1,-3,16,-3,-1
1,Extensão,1,1762976945223575,-2,-3,-4,-19,-21,-22,-3,-1
1,Extensão,1,1762976945223575,-1,-1,2,20,10,22,0,-3
1,Extensão,1,1762976945239023,0,2,3,-12,-22,2,-5,-2
1,Extensão,1,1762976945239023,0,-4,-1,-9,4,-11,4,5
1,Extensão,1,1762976945240017,-2,3,0,-8,2,-1,-1,3
1,Extensão,1,1762976945240017,-4,-6,-4,-1,-20,18,-10,-3
1,Extensão,1,1762976945261043,-2,0,-4,9,9,-10,2,5
1,Extensão,1,1762976945261043,3,4,3,2,13,27,2,-6
1,Extensão,1,1762976945263051,-3,-2,-2,-11,-4,1,3,-4
1,Extensão,1,1762976945263051,-2,-1,-1,-4,-8,14,-2,-4
1,Extensão,1,1762976945284053,0,-1,0,1,-7,10,-5,-4
1,Extensão,1,1762976945284053,-3,2,0,-11,2,-26,-1,4
1,Extensão,1,1762976945285118,1,0,0,2,9,-10,-3,1
1,Extensão,1,1762976945285118,-2,-2,-1,1,-2,5,-2,-1
1,Extensão,1,1762976945297521,-1,-2,-1,-2,2,8,-1,-5
1,Extensão,1,1762976945297521,0,-1,-2,-2,-13,9,4,1
1,Extensão,1,1762976945304900,-2,-3,-6,-22,-22,-32,-5,-2
1,Extensão,1,1762976945304900,-2,0,-3,6,7,0,-5,-4
1,Extensão,1,1762976945320867,1,0,1,1,5,-3,0,3
1,Extensão,1,1762976945320867,-5,-4,-5,9,-5,5,3,1
1,Extensão,1,1762976945322261,0,4,5,3,6,-6,-2,-3
1,Extensão,1,1762976945322261,3,1,6,5,-2,4,3,1
1,Extensão,1,1762976945344107,-2,-4,-15,-8,5,-2,-3,-1
1,Extensão,1,1762976945344107,1,-1,-2,-3,-4,1,0,0
1,Extensão,1,1762976945345104,-1,1,4,12,0,3,2,1
1,Extensão,1,1762976945345104,-2,2,-1,-16,2,-4,-1,-1
1,Extensão,1,1762976945358790,-1,0,6,6,-3,1,-1,-3
1,Extensão,1,1762976945358790,1,3,1,9,10,-4,-1,0
1,Extensão,1,1762976945360119,-1,0,-2,-4,-8,-4,0,0
1,Extensão,1,1762976945360119,2,0,1,3,7,4,1,2
1,Extensão,1,1762976945381655,-2,-3,-7,-10,-1,0,-4,-2
1,Extensão,1,1762976945381655,-3,-3,-1,1,2,-2,1,-1
1,Extensão,1,1762976945382387,0,-1,1,1,12,1,-1,-1
1,Extensão,1,1762976945382387,-1,-2,0,-3,9,-7,0,-2
1,Extensão,1,1762976945403954,-1,-1,9,7,-5,4,0,-1
1,Extensão,1,1762976945403954,0,-2,-5,8,5,-5,0,-2
1,Extensão,1,1762976945405748,0,0,-6,-12,1,-3,-1,0
1,Extensão,1,1762976945405748,-3,-1,-4,-12,-11,4,-1,0
1,Extensão,1,1762976945418176,0,-1,2,6,-17,-2,0,0
1,Extensão,1,1762976945418176,-1,-2,5,4,-8,3,-1,0
1,Extensão,1,1762976945424465,-1,2,-1,1,-6,0,-2,-1
1,Extensão,1,1762976945424465,0,-2,-2,-3,-2,1,-1,1
1,Extensão,1,1762976945441297,0,0,0,0,-1,-1,-1,2
1,Extensão,1,1762976945441297,1,0,3,1,2,-6,-1,2
1,Extensão,1,1762976945442555,-2,-5,1,3,8,0,-3,-4
1,Extensão,1,1762976945442555,0,-1,-1,3,36,4,1,1
1,Extensão,1,1762976945464068,1,1,2,-3,-1,-1,-1,0
1,Extensão,1,1762976945464068,-1,4,0,1,-5,4,1,-2
1,Extensão,1,1762976945465075,-3,-2,-2,-4,1,2,-1,-2
1,Extensão,1,1762976945465075,-3,-3,-2,-2,-14,-3,-1,0
1,Extensão,1,1762976945477597,-1,-2,-5,-2,4,4,0,-2
1,Extensão,1,1762976945477597,0,-1,-1,-5,-6,-3,1,0
1,Extensão,1,1762976945485096,0,1,-4,5,-5,-3,2,0
1,Extensão,1,1762976945485096,1,0,-1,0,-11,-6,-1,-2
1,Extensão,1,1762976945500976,-2,-3,1,3,-1,-7,-1,1
1,Extensão,1,1762976945500976,2,3,2,-3,-10,-3,0,0
1,Extensão,1,1762976945502976,-3,0,2,3,-2,0,-1,0
1,Extensão,1,1762976945502976,-2,-3,-4,-9,-11,-4,1,0
1,Extensão,1,1762976945523755,0,-1,-3,-6,1,-6,-1,0
1,Extensão,1,1762976945523755,1,-1,0,2,3,0,-1,-1
1,Extensão,1,1762976945524751,0,-1,1,2,3,-5,-2,1
1,Extensão,1,1762976945524751,1,0,0,0,-6,1,1,-2
1,Extensão,1,1762976945538320,-4,0,1,1,0,2,-1,-2
1,Extensão,1,1762976945538320,-4,-1,-3,-4,3,4,-2,-1
1,Extensão,1,1762976945545319,-1,-2,-4,-2,1,-1,2,-1
1,Extensão,1,1762976945545319,-2,0,-2,0,-6,1,-4,-2
1,Extensão,1,1762976945561585,-2,0,5,0,6,4,-1,0
1,Extensão,1,1762976945561585,-2,0,2,3,2,6,-2,-1
1,Extensão,1,1762976945562583,0,0,-6,-3,-5,8,-3,-1
1,Extensão,1,1762976945562583,1,1,1,1,-1,2,1,0
1,Extensão,1,1762976945584014,-1,1,-3,1,4,-2,-1,0
1,Extensão,1,1762976945584014,0,-1,2,-1,-4,0,-1,1
1,Extensão,1,1762976945585012,-3,-1,-1,-4,-5,-10,1,0
1,Extensão,1,1762976945585012,-2,-1,-3,1,-3,-1,0,-2
1,Extensão,1,1762976945598413,1,1,0,-1,-3,-4,0,1
1,Extensão,1,1762976945598413,0,-2,2,1,0,-3,-1,0
1,Extensão,1,1762976945605131,1,1,2,0,0,-2,-1,0
1,Extensão,1,1762976945605131,-1,1,4,3,-5,-1,-1,-1
1,Extensão,1,1762976945621455,-1,-4,-7,-7,-4,-2,0,0
1,Extensão,1,1762976945621455,-1,0,-1,0,0,-2,1,0
1,Extensão,1,1762976945622457,4,2,1,0,2,2,-2,0
1,Extensão,1,1762976945622457,0,-3,-2,1,-1,7,0,-3
1,Extensão,1,1762976945643506,-4,-2,2,3,3,11,-2,-2
1,Extensão,1,1762976945643506,1,2,3,0,4,0,0,2
1,Extensão,1,1762976945645727,-3,-4,-3,-2,0,0,-1,-1
1,Extensão,1,1762976945645727,1,0,1,-1,-2,-5,-3,0
1,Extensão,1,1762976945657742,1,3,1,1,-2,-3,1,-1
1,Extensão,1,1762976945657742,-6,-4,-3,-1,0,-2,1,-2
1,Extensão,1,1762976945664533,0,-2,2,1,-1,-2,2,-2
1,Extensão,1,1762976945664533,-2,-4,-1,-1,-2,-1,-1,0
1,Extensão,1,1762976945681230,3,-1,-1,0,0,-2,-1,0
1,Extensão,1,1762976945681230,-1,1,-2,-1,-1,-3,-2,-1
1,Extensão,1,1762976945682511,-3,-2,0,0,1,-1,0,-2
1,Extensão,1,1762976945682511,0,0,0,-3,0,-3,0,0
1,Extensão,1,1762976945703572,3,0,2,-4,-2,-4,0,1
1,Extensão,1,1762976945703572,-4,-4,-5,0,3,-2,0,0
1,Extensão,1,1762976945704904,-1,-3,-3,-1,1,-3,1,0
1,Extensão,1,1762976945704904,-3,1,1,-1,-2,-3,-1,-1
1,Extensão,1,1762976945718054,0,-1,-3,-1,-3,-5,0,-1
1,Extensão,1,1762976945718054,-2,-2,-1,-3,-2,-4,-1,-2
1,Extensão,1,1762976945725217,-3,0,-1,0,0,-1,-2,0
1,Extensão,1,1762976945725217,0,1,1,-2,0,-1,-1,-1
1,Extensão,1,1762976945740674,-1,-2,-5,-2,-2,-2,-2,-2
1,Extensão,1,1762976945740674,-1,-3,-1,-1,-3,-1,-2,-1
1,Extensão,1,1762976945742798,1,-1,-1,-1,-2,-2,-2,0
1,Extensão,1,1762976945742798,-2,0,-1,-2,-1,-2,1,0
1,Extensão,1,1762976945763658,-2,-3,0,0,1,0,-1,0
1,Extensão,1,1762976945763658,0,2,0,0,-1,-2,0,-2
1,Extensão,1,1762976945765432,2,1,-3,-1,-2,2,0,-1
1,Extensão,1,1762976945765432,0,1,-1,0,1,1,2,0
1,Extensão,1,1762976945777196,-1,0,-3,1,-1,-1,-2,-2
1,Extensão,1,1762976945777196,1,-3,-4,-1,4,-1,0,-2
1,Extensão,1,1762976945786196,-1,-1,4,-1,-1,-1,-3,-1
1,Extensão,1,1762976945786196,0,-1,-2,1,-3,-2,-2,-1
1,Extensão,1,1762976945800410,-1,2,-1,-3,0,0,2,1
1,Extensão,1,1762976945800410,2,-3,-1,1,-3,1,-1,0
1,Extensão,1,1762976945803267,-2,0,2,2,-1,-1,-2,0
1,Extensão,1,1762976945803267,-2,-2,-3,-1,1,1,0,1
1,Extensão,2,1762976949395110,-2,-1,2,3,-14,-59,-7,-1
1,Extensão,2,1762976949395110,-1,-1,1,-1,-34,11,1,-5
1,Extensão,2,1762976949397068,2,3,3,-1,-7,-34,1,5
1,Extensão,2,1762976949397068,-4,-5,-5,-12,-17,18,-5,-6
1,Extensão,2,1762976949408226,-1,-2,-3,-1,17,18,9,7
1,Extensão,2,1762976949408226,-4,-5,0,4,-16,-21,-5,-6
1,Extensão,2,1762976949416718,-3,-3,1,0,4,-2,-5,-7
1,Extensão,2,1762976949416718,1,-1,-2,-2,1,12,1,5
1,Extensão,2,1762976949431729,5,6,9,19,8,4,-1,2
1,Extensão,2,1762976949431729,-1,2,1,-3,14,19,12,2
1,Extensão,2,1762976949433112,-2,-2,-1,7,-10,-27,-15,-4
1,Extensão,2,1762976949433112,-3,-4,-5,-21,-4,-2,0,0
1,Extensão,2,1762976949454017,-5,-4,-3,-3,0,-17,-2,2
1,Extensão,2,1762976949454017,8,11,12,24,74,83,4,-20
1,Extensão,2,1762976949456175,-3,-7,-7,-15,16,1,28,18
1,Extensão,2,1762976949456175,-5,0,1,5,31,-78,-7,-9
1,Extensão,2,1762976949468154,-6,-3,-2,-9,-33,-11,-1,0
1,Extensão,2,1762976949468154,0,-2,-5,-12,7,9,-15,-4
1,Extensão,2,1762976949477135,-1,1,0,8,-16,8,-3,-4
